"Pathway_Name"	"Gene_Found"	"Gene_Pathway"	"Percentage"	"pvalue"	"pvalueAdj"	"KeggID"	"GeneList"
"04114"	"Oocyte meiosis"	19	129	0.15	8.61863084970001e-05	0.00188695862532678	"hsa04114"	"SMC1B/ FBXO43/ IGF1/ SPDYC/ MAD2L1/ CALML5/ PLK1/ AURKA/ BUB1/ CCNB1/ CCNE1/ PKMYT1/ CCNB2/ CCNE2/ PTTG1/ ESPL1/ CDK1/ CDC20/ CDC25C"
"04261"	"Adrenergic signaling in cardiomyocytes"	21	150	0.14	8.8021393601249e-05	0.00188695862532678	"hsa04261"	"ADRB2/ CACNG4/ GNAI1/ KCNE1/ MYH7/ MYL2/ MYL3/ ATP1A2/ ATP1A3/ ATP2A1/ CALML5/ PPP1R1A/ PPP2R2C/ SCN4B/ SLC8A2/ TNNC1/ TNNI3/ CACNA1S/ CACNA2D1/ CREB3L1/ CREB5"
"04914"	"Progesterone-mediated oocyte maturation"	16	100	0.16	9.43101276177266e-05	0.00190284551605178	"hsa04914"	"GNAI1/ IGF1/ SPDYC/ MAD2L1/ PDE3B/ PLK1/ MAPK10/ AURKA/ BUB1/ CCNA2/ CCNB1/ PKMYT1/ CCNB2/ CDK1/ CDC25A/ CDC25C"
"04923"	"Regulation of lipolysis in adipocytes"	11	57	0.19	0.000131198213412377	0.00250005484446918	"hsa04923"	"CGA/ MGLL/ ADRB2/ FABP4/ GNAI1/ AQP7/ LIPE/ NPR1/ PDE3B/ PLIN1/ IRS4"
"04713"	"Circadian entrainment"	15	97	0.15	0.000217251253758322	0.00372585900195523	"hsa04713"	"FOS/ GNAI1/ GNG4/ GNG11/ GRIA2/ GRIA4/ GRIN2C/ GRIN2D/ KCNJ3/ CALML5/ PER1/ GNG2/ RYR1/ RYR3/ CACNA1H"
"00982"	"Drug metabolism - cytochrome P450"	12	72	0.17	0.000346979744723785	0.00566733583048849	"hsa00982"	"ADH1A/ ADH1B/ ADH1C/ CYP2A6/ CYP2A7/ FMO2/ GSTM5/ AOX1/ MAOA/ UGT2B28/ UGT1A6/ UGT2B4"
"04610"	"Complement and coagulation cascades"	13	85	0.15	0.00054653936955132	0.00852104562527739	"hsa04610"	"CFD/ F7/ F10/ F12/ FGA/ FGB/ FGG/ PROS1/ MASP1/ CFB/ C6/ VTN/ VWF"
"05412"	"Arrhythmogenic right ventricular cardiomyopathy"	12	77	0.16	0.000676464832316649	0.0100881494558526	"hsa05412"	"CDH2/ DES/ DMD/ CACNG4/ ITGA7/ ATP2A1/ SGCG/ SLC8A2/ CACNA1S/ CACNA2D1/ ACTN2/ ACTN3"
"00980"	"Metabolism of xenobiotics by cytochrome P450"	12	78	0.15	0.000766928537394599	0.0109606870135978	"hsa00980"	"ADH1A/ ADH1B/ ADH1C/ CYP2A6/ CYP2A7/ AKR1C1/ AKR7A3/ GSTM5/ HSD11B1/ UGT2B28/ UGT1A6/ UGT2B4"
"00380"	"Tryptophan metabolism"	8	42	0.19	0.000798926121623074	0.0109612663886686	"hsa00380"	"INMT/ ALDH2/ IL4I1/ AOX1/ IDO1/ MAOA/ TDO2/ TPH1"
"04152"	"AMPK signaling pathway"	16	120	0.13	0.000849320316211486	0.01120449494079	"hsa04152"	"ACACB/ IGF1/ LEP/ LEPR/ LIPE/ PCK1/ PFKFB1/ PPARG/ PPP2R2C/ SLC2A4/ IRS4/ CCNA2/ CREB3L1/ ADIPOQ/ CD36/ CREB5"
"04080"	"Neuroactive ligand-receptor interaction"	34	341	0.1	0.000921687879082068	0.0113214173845564	"hsa04080"	"NMUR1/ CGA/ NMU/ UCN3/ ADORA2A/ ADRB2/ EDN2/ EDN3/ EDNRB/ GABRD/ GABRE/ GHR/ NPW/ GRIA2/ GRIA4/ GRIN2C/ GRIN2D/ GRM4/ HTR1D/ LEP/ LEPR/ NPY2R/ NTS/ OXTR/ GAL/ PENK/ AVPR2/ CHRNA9/ PTGFR/ PTH1R/ TACR1/ TRH/ KISS1R/ GABBR2"
"04510"	"Focal adhesion"	23	201	0.11	0.000924197337514811	0.0113214173845564	"hsa04510"	"COL1A1/ COL2A1/ COL9A1/ COL9A3/ COMP/ COL6A6/ FLNC/ FN1/ MYLPF/ IBSP/ IGF1/ ITGA7/ MYL2/ MYLK/ PPP1R12B/ MAPK10/ RELN/ SPP1/ TNXB/ VTN/ VWF/ CAV1/ CAV2"
"04022"	"cGMP-PKG signaling pathway"	20	167	0.12	0.00102527607410055	0.0121265411522927	"hsa04022"	"ADRB2/ EDNRB/ GATA4/ GNAI1/ KCNMB1/ MYH7/ MYLK/ ATP1A2/ ATP1A3/ ATP2A1/ NPR1/ PDE2A/ PDE3B/ CALML5/ RGS2/ SLC8A2/ CACNA1S/ IRS4/ CREB3L1/ CREB5"
"05204"	"Chemical carcinogenesis"	12	83	0.14	0.00138563507265994	0.0158424276640787	"hsa05204"	"ADH1A/ ADH1B/ ADH1C/ CYP2A6/ CYP2A7/ AKR1C2/ GSTM5/ HSD11B1/ UGT2B28/ UGT1A6/ UGT2B4/ NAT1"
"04371"	"Apelin signaling pathway"	17	137	0.12	0.00144337852223848	0.0159702849396064	"hsa04371"	"EGR1/ MRAS/ GNAI1/ GNG4/ GNG11/ LIPE/ MYL2/ MYL3/ MYLK/ PDE3B/ CALML5/ PLIN1/ GNG2/ RYR1/ RYR3/ SLC8A2/ SPP1"
"04151"	"PI3K-Akt signaling pathway"	34	354	0.1	0.00172774855932121	0.0185193048702243	"hsa04151"	"SGK2/ COL1A1/ COL2A1/ COL9A1/ COL9A3/ COMP/ COL6A6/ FGF1/ FGF2/ FGFR3/ FN1/ GHR/ GNG4/ GNG11/ ANGPT1/ IBSP/ IGF1/ IL6/ ITGA7/ KIT/ NGFR/ NTRK2/ PCK1/ GNG2/ PPP2R2C/ RELN/ SPP1/ TNXB/ VTN/ VWF/ CCNE1/ CREB3L1/ CCNE2/ CREB5"
"00053"	"Ascorbate and aldarate metabolism"	6	30	0.2	0.00181589160658628	0.018874267304821	"hsa00053"	"ALDH2/ UGT2B28/ UGT1A6/ UGT2B4/ RGN/ KL"
"04964"	"Proximal tubule bicarbonate reclamation"	5	23	0.22	0.00209909781791884	0.0211761926925341	"hsa04964"	"AQP1/ ATP1A2/ ATP1A3/ PCK1/ CA4"
"00260"	"Glycine, serine and threonine metabolism"	7	40	0.17	0.00247785466586268	0.0231874305221416	"hsa00260"	"SDS/ GLDC/ DMGDH/ AOC2/ MAOA/ PGAM2/ AOC3"
"05030"	"Cocaine addiction"	8	49	0.16	0.00250126801550799	0.0231874305221416	"hsa05030"	"FOSB/ GNAI1/ GRIA2/ GRIN2C/ GRIN2D/ MAOA/ CREB3L1/ CREB5"
"05033"	"Nicotine addiction"	7	40	0.17	0.00247785466586268	0.0231874305221416	"hsa05033"	"GABRD/ GABRE/ GRIA2/ GRIA4/ GRIN2C/ GRIN2D/ SLC17A7"
"04920"	"Adipocytokine signaling pathway"	10	69	0.14	0.00278000858236502	0.02383857359378	"hsa04920"	"ACSL1/ ACACB/ LEP/ LEPR/ PCK1/ MAPK10/ SLC2A4/ IRS4/ ADIPOQ/ CD36"
"04924"	"Renin secretion"	10	69	0.14	0.00278000858236502	0.02383857359378	"hsa04924"	"ADRB2/ EDN2/ EDN3/ GNAI1/ AQP1/ NPR1/ PDE1C/ PDE3B/ CALML5/ CACNA1S"
"05031"	"Amphetamine addiction"	10	69	0.14	0.00278000858236502	0.02383857359378	"hsa05031"	"FOS/ FOSB/ GRIA2/ GRIA4/ GRIN2C/ GRIN2D/ MAOA/ CALML5/ CREB3L1/ CREB5"
"05032"	"Morphine addiction"	12	91	0.13	0.00319700187148206	0.0267456498028865	"hsa05032"	"GABRD/ GABRE/ GNAI1/ GNG4/ GNG11/ KCNJ3/ PDE11A/ PDE1C/ PDE2A/ PDE3B/ GNG2/ GABBR2"
"04970"	"Salivary secretion"	12	93	0.13	0.00386738198848348	0.0315836195726151	"hsa04970"	"CST1/ CST2/ CST4/ CST5/ ADRB2/ DMBT1/ ATP1A2/ ATP1A3/ CALML5/ RYR3/ MUC5B/ CAMP"
"02010"	"ABC transporters"	7	45	0.16	0.00529382562069063	0.0412677769976565	"hsa02010"	"ABCC9/ ABCA10/ ABCA9/ ABCA8/ ABCD2/ ABCA6/ ABCB1"
"04218"	"Cellular senescence"	17	156	0.11	0.00585640056485282	0.0436683781248808	"hsa04218"	"CDKN2A/ E2F1/ E2F2/ MRAS/ FOXM1/ GATA4/ IL6/ MYBL2/ CALML5/ TGFBR2/ CCNA2/ CCNB1/ CCNE1/ CCNB2/ CCNE2/ CDK1/ CDC25A"
"04728"	"Dopaminergic synapse"	15	132	0.11	0.0058385891518067	0.0436683781248808	"hsa04728"	"FOS/ GNAI1/ GNAL/ GNG4/ GNG11/ GRIA2/ GRIA4/ KCNJ3/ MAOA/ CALML5/ GNG2/ PPP2R2C/ MAPK10/ CREB3L1/ CREB5"
